Quantity,Manufacture Part Number,Manufacturer(optional),Description(optional),LCSC Part Number(optional),Package(optional),Customer Part Number(optional)
2,2N2222A,ST,2N2222,C118536,TO-92-3_L4.9-W3.7-P1.27-L,Q1-Q2
1,G6K-2P-Y DC3,OMRON,G6K-2P-Y DC3,C1525307,RELAY-TH_G6K-2P-Y,U6
1,BX-PZ2.54-1-4PZZ,Bossie,BX-PZ2.54-1-4PZZ,C18078201,HDR-TH_4P-P2.54-V-M,_U2
1,2.54-4P WZDK,SHOU HAN,Modbus2 Télécom. IN + Modbus1 + Temp_OUT + I2C,C18185674,HDR-TH_4P-P2.50-V-F-1,_H6-_H8-H4-J1_I1C
1,AO3401CI-ES,ElecSuper,AO3401CI-ES,C21713833,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,Q3
1,DL25018-4AWD-S,DLL,Modbus2 Téléco. OUT,C22382738,CONN-TH_S04B-XASK-1-LF-SN,_H5
1,S06B-XASK-1(LF)(SN),JST,Temp_IN,C263755,CONN-TH_5P-P2.50_S06B-XASK-1-LF-SN,CN1
2,2.54-1*13P?,BOOMELE,Header-Female-2.54_1x13,C2685211,HDR-TH_13P-P2.54-V-F,_P1-_P2
2,2.54-1*4P?,BOOMELE,2.54-1*4P?,C2718488,HDR-TH_4P-P2.54-V-F,_H13-_H14
1,SS-24H03-G070,G-Switch,UART USB SELECT,C2876019,SW-TH_10P-L29.8-W9.2-P4.00_SS-24H03-G070,_SW6
3,VO MF1/4W-10K±1%-ST52,VO,10k?,C2903232,RES-TH_BD2.7-L6.2-P10.20-D0.4,R1-R10-R13
1,VO CR1/4W-820?±5%-ST26,VO,820?,C2896905,RES-TH_BD2.7-L6.2-P10.20-D0.4,R2
1,VO CR1/8W-100?±5%-ST26,VO,100?,C2896920,RES-TH_BD2.7-L6.2-P10.20-D0.4,R3
1,VO CR1/4W-100K±5%-ST26,VO,100k?,C2894598,RES-TH_BD2.7-L6.2-P10.20-D0.4,R4
2,VO CR1/4W-2K±5%-OT52,VO,2k?,C2894584,RES-TH_BD2.7-L6.2-P10.20-D0.4,R8-R9
2,VO CR1/4W-470?±5%-ST26,VO,470?,C2896819,RES-TH_BD2.7-L6.2-P10.20-D0.4,R11-R12
3,CR1/4W-4K7±5%-ST52,VO,4.7k,C2896834,RES-TH_BD2.7-L6.2-P10.20-D0.4,R5-R6-R7
4,DM254R-11-02-85,DEALON,DM254R-11-02-85,C2935896,HDR-TH_2P-P2.54-V-F,_U1-_U8-_U9-_U10
6,DZ254R-11-03-63,DEALON,5V SELECT+12V SELECT+RES APP REF+VCC I2C+PULLUP/DOWN SELECT+RES APP/K6 SELECT,C2935909,HDR-TH_3P-P2.54-V-M,_H2-_H7-H10-H1-H3-H9
1,DW254W-11-06-85,DEALON,DS1024-1X6R2,C2935996,HDR-TH_6P-P2.54-H-F-W10.0-N,_U13
1,1N4148PF,ST,1N4148PF,C2992430,DO-35_BD1.9-L3.9-P7.90-D0.5-FD,D1
2,SK-12D02-VG7,DEALON,FLASH MODE + ON/OFF,C2998811,SW-TH_DEALON_SK-12D02-VG7,_SW1-_SW2
1,PE104J2A0501,KYET,100nF,C390170,CAP-TH_L7.2-W2.5-P5.00-D0.5,_C9
2,KF2EDGR-5.08-2P,KEFA,ALIM 5V+ALIM 3.3V,C441204,CONN-TH_2P-P5.08_KF2EDGR-5.08-2P,J1-J7
1,KF301-5.0-2P,KEFA,ALIM 12V,C474881,CONN-TH_P5.00_KF301-5.0-2P,J6
1,CT4-1206B475K250F3-Y,KYET,4.7uF,C49215584,CAP-TH_L4.8-W2.4-P5.08-D0.6,_C1
1,KH-SS42D02-G3,kinghelm,MODBUS TELECO SELECT,C5274503,SW-TH_KH-SS42D02-G3,_SW4
1,178MU0009,KNSCHA,470nF,C5632433,CAP-TH_L4.8-W2.4-P5.08-D0.6,_C2
1,KF2EDGR-2.54-2P,KEFA,Bouches 2+Bouches 3,C577594,CONN-TH_P2.54_KF2EDGR-2.54-2P,CN3-CN4
1,KF2EDGR-2.54-8P,KEFA,Bouches 1,C577600,CONN-TH_8P-P2.54_KF2EDGR-2.54-8P,CN2
1,DS1023-1x10SF11,CONNFLY Elec,ADS1115,C7509514,HDR-TH_10P-P2.54-V-F,ADC1
2,DS1023-1x8SF12,CONNFLY,DS1023-1x8SF11,C7509515,HDR-TH_8P-P2.54-V-F,U7-U14
2,DS1023-1x5SF11,CONNFLY,DS1023-1X5SF11,C7509517,HDR-TH_5P-P2.54-V-F-B,_U15-_U16
4,DS1023-1x6SF11,CONNFLY,DS1023-1X6SF11,C7509518,HDR-TH_6P-P2.54-V-F,_U11-_U12-U7-U14
1,GR106M050D11RR0VK2FP0,CX,10uF,C78759,CAP-TH_BD5.0-P2.00-D0.8-FD,_C8
1,MICROCHIP MCP2221-I/SL,MICROCHIP,USB 2.0 SOIC-14 Interface Controllers RoHS,C184842,SOIC-14,U4


